Tag	Samples	Cluster
GSM773540	GSM773540	C2
GSM773541	GSM773541	C2
GSM773542	GSM773542	C2
GSM773543	GSM773543	C2
GSM773544	GSM773544	C2
GSM773545	GSM773545	C1
GSM773546	GSM773546	C2
GSM773547	GSM773547	C1
GSM773548	GSM773548	C2
GSM773549	GSM773549	C1
GSM773550	GSM773550	C2
GSM773551	GSM773551	C1
GSM773552	GSM773552	C2
GSM773553	GSM773553	C1
GSM773554	GSM773554	C1
GSM773555	GSM773555	C2
GSM773556	GSM773556	C2
GSM773557	GSM773557	C2
GSM773558	GSM773558	C2
GSM773559	GSM773559	C2
GSM773560	GSM773560	C2
GSM773561	GSM773561	C1
GSM773562	GSM773562	C2
GSM773563	GSM773563	C2
GSM773564	GSM773564	C1
GSM773565	GSM773565	C2
GSM773566	GSM773566	C2
GSM773567	GSM773567	C1
GSM773568	GSM773568	C2
GSM773569	GSM773569	C1
GSM773570	GSM773570	C1
GSM773571	GSM773571	C2
GSM773572	GSM773572	C2
GSM773573	GSM773573	C2
GSM773574	GSM773574	C2
GSM773575	GSM773575	C2
GSM773576	GSM773576	C2
GSM773577	GSM773577	C1
GSM773578	GSM773578	C1
GSM773579	GSM773579	C1
GSM773580	GSM773580	C2
GSM773581	GSM773581	C2
GSM773582	GSM773582	C2
GSM773583	GSM773583	C2
GSM773584	GSM773584	C2
GSM773585	GSM773585	C2
GSM773586	GSM773586	C2
GSM773587	GSM773587	C2
GSM773588	GSM773588	C2
GSM773589	GSM773589	C2
GSM773590	GSM773590	C2
GSM773591	GSM773591	C2
GSM773592	GSM773592	C2
GSM773593	GSM773593	C2
GSM773594	GSM773594	C1
GSM773595	GSM773595	C1
GSM773596	GSM773596	C2
GSM773597	GSM773597	C2
GSM773598	GSM773598	C2
GSM773599	GSM773599	C2
GSM773600	GSM773600	C2
GSM773601	GSM773601	C2
GSM773602	GSM773602	C1
GSM773603	GSM773603	C2
GSM773604	GSM773604	C2
GSM773605	GSM773605	C2
GSM773606	GSM773606	C1
GSM773607	GSM773607	C1
GSM773608	GSM773608	C1
GSM773609	GSM773609	C1
GSM773610	GSM773610	C1
GSM773611	GSM773611	C1
GSM773612	GSM773612	C2
GSM773613	GSM773613	C2
GSM773614	GSM773614	C2
GSM773615	GSM773615	C1
GSM773616	GSM773616	C2
GSM773617	GSM773617	C1
GSM773618	GSM773618	C1
GSM773619	GSM773619	C1
GSM773620	GSM773620	C1
GSM773621	GSM773621	C2
GSM773622	GSM773622	C1
GSM773623	GSM773623	C1
GSM773624	GSM773624	C1
GSM773625	GSM773625	C1
GSM773626	GSM773626	C1
GSM773627	GSM773627	C2
