Tag	C1	C2	P.value
TTN	94	130	2.10289955851635e-05
CSMD3	75	110	4.1671332416008e-05
RYR2	78	100	0.00483385649519614
LRP1B	68	91	0.00376506609565915
TP53	89	147	3.89127530281738e-10
ZFHX4	59	91	0.000128127913665112
FLG	53	72	0.00964620498119037
XIRP2	46	72	0.00100961015748449
SPTA1	52	72	0.00696663889308151
PCLO	34	53	0.0064694774196157
ADAMTS12	32	58	0.000433781956431548
RP1L1	29	53	0.000691903633657066
PTPRD	29	51	0.0020974893764696
CSMD2	25	42	0.00839502294028909
FAM135B	26	43	0.0091745907407767
FLG2	24	41	0.00765260615580264
PKHD1	20	41	0.00147110946053097
DNAH5	19	43	0.000343548675731573
PRUNE2	20	41	0.00147110946053097
TNN	20	41	0.00147110946053097
LRP2	23	40	0.00694748597572565
SORCS1	18	41	0.000436466363528116
UNC79	18	34	0.00786624342875092
TG	19	35	0.0089325701175061
ADGRB3	19	38	0.00281406097033676
COL3A1	16	36	0.00110432353082776
DNAH11	16	33	0.00396347967666698
CTNND2	15	30	0.00766450345316467
DCDC1	15	30	0.00766450345316467
GRIN2B	17	33	0.0068717404867969
LRRIQ1	15	30	0.00766450345316467
COL5A2	14	35	0.000456410830263885
DCHS2	12	32	0.000453096155889225
MRC1	15	34	0.00141355012963246
PKD1L1	13	29	0.00362269224837693
DNAH7	15	30	0.00766450345316467
ABCB5	14	28	0.00989174182856192
BOD1L1	13	28	0.00557959717196781
THSD7B	14	28	0.00989174182856192
ITGAX	10	29	0.000653832186458661
SMARCA4	8	34	6.31072926669501e-06
TEX15	13	31	0.00147895409241929
CDH18	9	33	3.23052574031982e-05
UBR4	12	28	0.00446091811731433
CENPF	10	25	0.00440258189632287
RP1	12	27	0.00684621512765519
CLCN1	9	25	0.00210427657462348
KALRN	8	23	0.00255285515962052
POM121L12	7	31	1.19267356019303e-05
CDH23	10	26	0.00277384280683481
OR4C15	9	26	0.00128762771372099
PTPRC	9	23	0.00544715690166316
SCN1A	7	19	0.00832268000107622
SATB2	7	24	0.000640253075327805
AMER1	7	19	0.00832268000107622
CCDC129	9	22	0.0086183804114765
SGIP1	6	22	0.000736524594842048
DACH2	6	20	0.00218602434378217
SELP	7	20	0.00509737942478345
CDH11	6	21	0.00127556694592503
GUCY2F	6	19	0.00370472959260519
KCNC2	6	18	0.00620428305115787
RBP3	6	18	0.00620428305115787
PIK3CG	7	19	0.00832268000107622
PLG	7	19	0.00832268000107622
SLCO5A1	6	20	0.00218602434378217
SLITRK5	4	19	0.000505445247677876
DZIP3	6	20	0.00218602434378217
GUCY1A2	5	17	0.00440870959632342
ST18	5	20	0.00083305065384991
HHIPL2	4	19	0.000505445247677876
NCOR2	4	18	0.00156648548971756
RAD51AP2	4	19	0.000505445247677876
NUP210	3	20	0.00013207030035533
ABCA2	4	15	0.00821552222205969
CES5A	4	16	0.00477704239009061
PCDHGA8	4	17	0.00274868057360879
POTEC	3	15	0.00278259604798239
BRINP1	3	17	0.000841389732378818
BTAF1	3	16	0.00153673856070169
ABCA7	3	13	0.00885740369600199
COL28A1	3	15	0.00278259604798239
FCRL3	4	15	0.00821552222205969
MAGEC3	2	16	0.000378363780453601
MYO9A	3	13	0.00885740369600199
PLA2G4A	3	14	0.00499075250361062
UMOD	4	15	0.00821552222205969
ATP13A5	2	15	0.000724407882166721
GCC2	1	15	0.000127247343928952
ABLIM3	3	13	0.00885740369600199
ASXL2	3	14	0.00499075250361062
GLDC	3	14	0.00499075250361062
WDR17	2	15	0.000724407882166721
IRS1	3	13	0.00885740369600199
KYNU	2	11	0.00897755633848438
PHF20L1	2	13	0.00259628603743076
PRKCG	3	13	0.00885740369600199
ROBO4	3	13	0.00885740369600199
ZNF492	3	13	0.00885740369600199
IGKV1-5	2	12	0.00485202991661397
TNS3	2	13	0.00259628603743076
DOCK5	2	12	0.00485202991661397
DUSP22	2	12	0.00485202991661397
KIRREL	1	11	0.00207218311777372
PRTG	2	11	0.00897755633848438
RASGRF2	2	12	0.00485202991661397
SLC17A3	2	12	0.00485202991661397
CABS1	2	11	0.00897755633848438
CD1B	1	11	0.00207218311777372
ENAM	1	12	0.00104081269824824
KCNK10	2	11	0.00897755633848438
KDM4C	2	11	0.00897755633848438
KL	2	11	0.00897755633848438
PCDHGB5	1	12	0.00104081269824824
UBN2	2	11	0.00897755633848438
ZBTB14	1	12	0.00104081269824824
DOCK8	1	10	0.0040963766775223
JAKMIP1	1	11	0.00207218311777372
LRIT1	1	11	0.00207218311777372
PAX4	1	11	0.00207218311777372
PNLIPRP3	1	10	0.0040963766775223
PTPRF	1	11	0.00207218311777372
THSD1	1	11	0.00207218311777372
ACSM1	1	10	0.0040963766775223
AKNA	1	10	0.0040963766775223
ANLN	1	10	0.0040963766775223
BTNL8	1	10	0.0040963766775223
CLVS2	1	9	0.00803327331464913
HELZ2	1	9	0.00803327331464913
IGHV1OR15-9	0	10	0.000524875635571123
KRT72	1	9	0.00803327331464913
PLEKHM1	1	9	0.00803327331464913
QSER1	1	10	0.0040963766775223
