"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SPHK1",-1.14403990359489,1.97975831628771,-17.9588654354659,5.40527854406825e-56,9.9716578580971e-52,116.48907958071
"SELENBP1",1.69619980599002,5.29699640438122,16.2397301482426,6.3996974108982e-48,5.9030808918125e-44,98.1118034498594
"LOXL2",-1.35172191967939,3.02948152227599,-15.8732465680672,3.14488925158023e-46,1.9338972304384e-42,94.2615751606101
"CTHRC1",-1.57020289018308,4.88706351979354,-15.344643424632,8.22259156267982e-44,3.79225922870793e-40,88.7590807005902
"C16orf89",2.66138497547198,5.38314523489186,15.0536283150636,1.71270583639504e-42,5.67531763448266e-39,85.7576871201952
"TMPRSS2",1.52405216206948,3.84068317847558,15.0332294386925,2.1172524364798e-42,5.67531763448266e-39,85.5480899830983
"ADAM12",-1.13917639370946,1.65033497421968,-14.8682396789359,1.17194347993282e-41,2.43582316777944e-38,83.8567431527021
"CENPW",-1.12112176309775,3.05767270824943,-14.8668975962404,1.18833524013524e-41,2.43582316777944e-38,83.8430140667454
"FSCN1",-1.44828886640465,4.49715362012356,-14.793999883583,2.52513738440699e-41,4.65837344675402e-38,83.0980049376344
"MYBL2",-1.64824406339795,3.74017146187561,-14.7581172509555,3.65754971634274e-41,6.13404337882644e-38,82.731804070635
"GPC6",-1.14037461598181,1.66610048539392,-14.6842443755821,7.83390908186602e-41,1.20433295618554e-37,81.9789794864537
"CDC20",-1.40592343398367,3.76805735715132,-14.6481176639873,1.13635194547237e-40,1.61257082231341e-37,81.6113564023557
"RRM2",-1.25411092423744,3.2227669661746,-14.5557928605858,2.93508056850363e-40,3.86759759483964e-37,80.6734896878688
"PLK1",-1.0411088451654,2.47270075594521,-14.4268640018469,1.09998620285634e-39,1.35283636468625e-36,79.3677577315341
"GREM1",-1.37883943660516,1.86049910814094,-14.3818028232603,1.74356648392657e-39,1.89207732326338e-36,78.9125085675081
"CENPA",-1.05358993026256,1.84061179579231,-14.3170967210132,3.37489804544544e-39,3.2768483759146e-36,78.2598085701646
"ANLN",-1.26252480534017,2.76219149990144,-14.2306112546939,8.14324385655363e-39,6.82848012116824e-36,77.3893175873115
"TPX2",-1.39376424656446,3.63319927382763,-14.2201889043813,9.05383191310529e-39,7.26196048404202e-36,77.2845631094088
"CCNB1",-1.15578142561898,3.79092996037051,-14.1782412591199,1.38666534185952e-38,1.06588342610935e-35,76.8632747767808
"CDCA5",-1.10478423107464,2.51552798927224,-14.1529658737325,1.79232483888044e-38,1.32259234510666e-35,76.609681861279
"ITGA5",-1.01279260678014,3.62255850397692,-14.099652352645,3.07762478656757e-38,2.18369315625379e-35,76.0754044184892
"KIF2C",-1.152992609761,2.58988311509613,-14.0280060177691,6.35574428345738e-38,4.34262113115636e-35,75.3587591968955
"KIF4A",-1.07840256762058,2.17318449140383,-14.0239988646433,6.61852833666037e-38,4.36066466981109e-35,75.3187236637455
"CDC45",-1.00068780811852,2.02755643246409,-14.013184418939,7.38305228755026e-38,4.69663960692163e-35,75.2107008944027
"CCNB2",-1.06454516573414,2.7773091735869,-13.9843923806901,9.87539657689443e-38,5.87681664679189e-35,74.9232795018709
"NCAPH",-1.01635511303146,2.1790272857348,-13.9743206784341,1.09324047390122e-37,6.30253133204051e-35,74.8227972788983
"BIRC5",-1.3040408488505,3.15651216255552,-13.9067407042828,2.16112033831246e-37,1.20813175761177e-34,74.1493858113683
"CACNA2D2",1.75584355245431,2.53322638535192,13.889772583625,2.56385209547125e-37,1.39111598403687e-34,73.9805276932985
"HJURP",-1.07800201408113,2.10341460183581,-13.8436333285112,4.07845111927478e-37,2.14969332138232e-34,73.5218302140851
"CCNA2",-1.09465969851597,2.76916409078703,-13.8267399897375,4.83322075977675e-37,2.47675712712115e-34,73.3540514815463
"CYP4B1",2.23522347843895,3.48528925195062,13.8184749086537,5.25170555253402e-37,2.61847200089588e-34,73.2719985066251
"SLC2A1",-1.49165827602183,4.61304709937422,-13.7869163339397,7.20967888125494e-37,3.50010936845766e-34,72.9588950992892
"FAM83D",-1.06012234384163,2.55420789556643,-13.7060091036846,1.62215097195279e-36,7.12510503109168e-34,72.1576421924514
"ADGRF5",1.56361954130363,4.60967550256649,13.6793254234512,2.11855546524986e-36,9.0890956332394e-34,71.8938471363644
"C1orf116",1.65871283821237,4.81400564296474,13.4762007216575,1.60454911608261e-35,5.69244655644075e-33,69.8934150327846
"UNC13B",1.00171253821929,4.07109565965464,13.2892425204683,1.02180420989489e-34,3.30706036212997e-32,68.064446759915
"CEP55",-1.08070365749828,2.74215148810524,-13.2182456030068,2.05741422815819e-34,6.0246313779464e-32,67.3730565482327
"CDCA8",-1.01862683696967,2.9238786509751,-13.1866358026057,2.80804694471169e-34,7.96966923631403e-32,67.0657982393307
"TMEM125",1.10192341792076,5.19465373825657,13.1573872298099,3.74334942920461e-34,1.04632288287828e-31,66.7818057560649
"COL11A1",-1.72858035576479,2.13637170167465,-13.1467915694742,4.15392473285615e-34,1.1269353451725e-31,66.6790006661558
"TMEM163",1.18355940587021,2.29463324514787,13.1143128760364,5.7134219119872e-34,1.52755373090348e-31,66.3641226164488
"TRIP13",-1.07293710263084,2.52459186162803,-13.0789895278803,8.07744186423627e-34,2.12875210730615e-31,66.0220932866409
"UBE2C",-1.54262941121185,4.3506281916125,-12.9940614369528,1.85366411788612e-33,4.68443775983058e-31,65.2015880463162
"SFTA3",1.68377366469235,4.42594234349328,12.9897328613005,1.93369346690211e-33,4.82064555100136e-31,65.159838891009
"STC1",-1.23657180056823,2.59167770768026,-12.9541099363919,2.73744000261012e-33,6.64477541686205e-31,64.8165149073278
"CDKN3",-1.03269470412496,2.29969008613897,-12.8735623123275,5.99697617214986e-33,1.43678203147819e-30,64.041935960188
"DLGAP5",-1.01981432500903,2.20522727973311,-12.8580326825636,6.97394354426306e-33,1.64942705775083e-30,63.8928723609768
"MMP14",-1.03824542727553,5.94955263668966,-12.8015745262488,1.20626920710521e-32,2.7816567915846e-30,63.3517068287482
"AURKB",-1.09811114684588,2.55064275578949,-12.7558228322196,1.87890073369199e-32,4.03046055059881e-30,62.914041743614
"MELK",-1.05617969264517,2.31687683090088,-12.7285907218525,2.44509861176876e-32,5.12581581703525e-30,62.6539117400583
"FOXM1",-1.11732213441722,2.70339262876668,-12.7046844392858,3.0804766597085e-32,6.3142926020336e-30,62.4257829367132
"KIFC1",-1.04370458344983,2.83811911757302,-12.5588800833757,1.25437374723742e-31,2.38563782361195e-29,61.0391657409608
"CPXM1",-1.04428445631413,2.50281075600688,-12.4147578945474,4.98517754224219e-31,8.67609012257396e-29,59.6766794688228
"SLC26A9",1.63598570540276,2.48750152160806,12.3769634769976,7.14890376733419e-31,1.20993556605304e-28,59.3207434567249
"COL5A2",-1.21286162416044,4.4630736723454,-12.3713913956637,7.53876567493175e-31,1.26431953791946e-28,59.2683156081335
"FMO5",1.3160513278236,2.92281315773054,12.3530787103494,8.97535829674636e-31,1.49168837710249e-28,59.096098753493
"SUSD2",1.89786335219784,3.92421805172854,12.345690716537,9.62933292237181e-31,1.5720525110789e-28,59.0266584072411
"C9orf152",1.23693323181494,2.77957441899657,12.3335742131702,1.08061073186608e-30,1.71854368805736e-28,58.9128219395404
"COL12A1",-1.39838410212568,2.91100449306839,-12.301443828674,1.46665658337668e-30,2.31255390172077e-28,58.6112384850365
"PLOD2",-1.22194454526526,3.58707421134221,-12.2643675544584,2.08537154641378e-30,3.17941605687946e-28,58.2637510884355
"RAP1GAP",1.3431419130224,3.60770126559837,12.2418082825644,2.58268031148739e-30,3.90535134314094e-28,58.052593930266
"SULF1",-1.31106900728351,3.77166471800426,-12.2202853729835,3.16669989675583e-30,4.74953493458143e-28,57.8513309185988
"TK1",-1.11456309191361,4.74739009081026,-12.1486303728056,6.23408777795812e-30,8.91522878509856e-28,57.1826481847168
"SFTPB",2.70019699443719,9.5584962672679,12.1420916047395,6.63087705651979e-30,9.40972461066748e-28,57.121734045554
"ABO",1.11554244031721,2.45855436871369,12.1399012112367,6.76933847850536e-30,9.53288215660053e-28,57.101332643073
"COL3A1",-1.39102011717747,7.75314111291184,-12.1272557149951,7.62684656436743e-30,1.05000048820485e-27,56.9835909432062
"DLC1",1.02869313580334,2.70744409036256,12.0607023571749,1.42721074026215e-29,1.90791186495335e-27,56.3650125763636
"EIF4EBP1",-1.08813592004874,4.98553099869801,-12.0172009751387,2.14751440986496e-29,2.75120457174922e-27,55.9616927264862
"PIGR",2.52133381792798,5.8149164768363,11.9015809903548,6.33697893692982e-29,7.49388380951804e-27,54.8936254271193
"HLF",1.07618152371351,1.63708918963598,11.8985787667684,6.51706713154484e-29,7.65776142947384e-27,54.8659676504299
"POSTN",-1.25004667590784,5.16703736828927,-11.8391573915924,1.13391410137254e-28,1.28334032773746e-26,54.3193505004566
"SPOCK1",-1.07449882701231,1.26132035687996,-11.8340442255586,1.18917737412669e-28,1.33767952426153e-26,54.272385723942
"LYPD3",-1.38414865620552,2.20406950836886,-11.7835091473032,1.90211378302369e-28,2.08870208745363e-26,53.8088279822033
"ATP13A4",1.35773286010982,2.24131591623311,11.722085677311,3.36147668946763e-28,3.64779540984111e-26,53.2468920128934
"ARNTL2",-1.03946132266557,2.13802782263747,-11.707205898462,3.8577056441721e-28,4.16181015927994e-26,53.1110128199524
"TOP2A",-1.15834513925015,3.92599696044945,-11.6527526697311,6.37978451731431e-28,6.80313669222049e-26,52.614590715737
"ST3GAL5",1.06348368898164,3.67359802547296,11.6002963141763,1.03450615811538e-27,1.07216683173665e-25,52.1376189677608
"PRR15L",1.21475409658902,5.06030735488071,11.5543250050845,1.57859335385622e-27,1.60894420949942e-25,51.7206264235564
