"","p.value","HR","Low 95%CI","High 95%CI"
"SPHK1",0.000351975741011826,1.32643242786031,1.13605540388965,1.54871230721269
"SELENBP1",0.00149946421823508,0.84738768420281,0.765038789084767,0.93860062729321
"LOXL2",9.74498052587817e-06,1.31425454836579,1.1643569635625,1.48344972543076
"CTHRC1",0.0701079620531839,1.10222087788714,0.992038568033217,1.2246407577267
"C16orf89",0.000497039048394344,0.898620263273845,0.846150423943347,0.954343760537335
"TMPRSS2",0.000220991550823893,0.820609090053411,0.738882474498062,0.911375356596109
"ADAM12",0.0151911356089739,1.18642367220076,1.03348869842412,1.36198986220621
"CENPW",0.0163395807218848,1.17603661391546,1.03024676936324,1.34245712619373
"FSCN1",1.89442992238694e-05,1.27659037754659,1.14143854521586,1.42774483906741
"MYBL2",0.00420794940228875,1.14701612922263,1.04418364256892,1.259975685369
"GPC6",0.0151888616506167,1.17683816280503,1.03187746512003,1.34216329772568
"CDC20",0.000576524429907748,1.21702702602103,1.08826348550322,1.36102589289826
"RRM2",1.73345817409975e-05,1.32290758492684,1.16437631355889,1.50302308444241
"PLK1",2.90881018527784e-06,1.41161196426463,1.22173513730837,1.63099863203173
"GREM1",0.0709775050175217,1.10803121546901,0.99126949567453,1.23854630835612
"CENPA",0.00320511655457657,1.22842928207332,1.07135400130297,1.4085339665693
"ANLN",2.98795855443629e-07,1.37874438420872,1.21936135912256,1.55896040395687
"TPX2",4.74530429334491e-05,1.25735569552536,1.12599683573947,1.40403888793508
"CCNB1",1.73071410736959e-05,1.350970746672,1.17775830456382,1.54965747326181
"CDCA5",7.97510691367034e-05,1.32268127714918,1.15110727291808,1.51982860510125
"ITGA5",0.00179466333241138,1.26017368815489,1.08989937530341,1.45704985276811
"KIF2C",0.00108155352907413,1.23790027066489,1.08919306523249,1.40691042665161
"KIF4A",7.57954685977778e-05,1.32844578178253,1.15412975850571,1.52908993302512
"CDC45",0.00354750421229011,1.23066496557204,1.07040832159629,1.41491450218531
"CCNB2",0.000344590839306714,1.28540397479919,1.12028992916454,1.47485337091421
"NCAPH",0.00133569131506237,1.25943458505956,1.09389586236203,1.45002420122438
"BIRC5",0.000494980230381519,1.23531930397305,1.09683107496205,1.39129335191498
"CACNA2D2",0.000340385065681721,0.847630774857098,0.774334328227581,0.927865269940195
"HJURP",5.27885768169745e-05,1.32516251245201,1.15609746859599,1.51895124079871
"CCNA2",3.63884943903409e-05,1.32193745090773,1.1579191994981,1.50918874552722
"CYP4B1",3.52781728726205e-05,0.860574994257171,0.801474156865102,0.924033937210754
"SLC2A1",9.57561345006736e-06,1.26879673414445,1.14185927510572,1.40984549293658
"FAM83D",0.00132660823214348,1.2550053846689,1.0924901040678,1.44169591073036
"ADGRF5",0.00054207904235356,0.842139683692485,0.764021156978498,0.928245560181048
"C1orf116",0.0530576727258053,0.916815925697327,0.839589214086727,1.00114606942225
"UNC13B",0.000774701259910882,0.774686642817485,0.667548920927606,0.899019346366241
"CEP55",0.000387175145236866,1.27673512122039,1.11557919021136,1.46117154574102
"CDCA8",0.00301746996315993,1.2319451368879,1.07331372410469,1.41402162873464
"TMEM125",3.24775305217219e-05,0.763933046128237,0.672815275809642,0.867390679060447
"COL11A1",0.0193039132903072,1.10050073055129,1.01566108172894,1.19242715875485
"TMEM163",0.00105044518347566,0.814678510014582,0.720678898974335,0.920938681046656
"TRIP13",0.0157917430465219,1.18210190888411,1.03194790261531,1.35410413592202
"UBE2C",0.00191050973240078,1.16351864061329,1.05740004477878,1.2802870907177
"SFTA3",5.43875706778864e-06,0.830047372270049,0.766008133630834,0.89944037140532
"STC1",0.00156851928533384,1.20584703429153,1.07373837439537,1.35420983806085
"CDKN3",6.31906831404367e-05,1.31949512486238,1.15190703450016,1.51146518980248
"DLGAP5",1.3611743262337e-05,1.35736489967573,1.18279211103757,1.55770355050431
"MMP14",0.00231541158954113,1.23614558520887,1.07853989265206,1.4167820015206
"AURKB",0.00523791488375525,1.18894255266151,1.05292871438066,1.3425262073518
"MELK",0.00128477091940129,1.23897166534913,1.08743948929219,1.4116194994327
"FOXM1",7.91387724046928e-05,1.28092509999464,1.13274074852712,1.4484948245481
"KIFC1",0.00243462023123821,1.21992378632226,1.07278585892195,1.38724241381254
"CPXM1",0.0204502140743259,1.17719516401457,1.02551675595064,1.35130747122184
"SLC26A9",0.232608927224363,0.947383677071854,0.866926140655361,1.0353083030853
"COL5A2",0.0155489877183069,1.14939002754619,1.02678900961882,1.28662989479509
"FMO5",0.11957071924835,0.916985749494058,0.822188627516444,1.02271283819036
"SUSD2",0.00206928838290585,0.886167977649479,0.820576187813308,0.957002769851314
"C9orf152",0.185769022459286,0.92323199980701,0.820215947396452,1.03918648274667
"COL12A1",0.0293223095935171,1.1127508866447,1.01080270944206,1.22498141740443
"PLOD2",0.00211657266271524,1.19673023608244,1.06722523984876,1.34195032545977
"RAP1GAP",0.0114383642243075,0.874346397401357,0.787932022742563,0.970238041586116
"SULF1",0.110288537520264,1.08927161128655,0.98074660974057,1.20980550059578
"TK1",4.45184677343887e-05,1.3136986562245,1.15241737427755,1.49755131941494
"SFTPB",5.5174240010556e-05,0.909528372790821,0.868559321088085,0.95242989261251
"ABO",0.335689379874233,0.938654325347502,0.825146256551773,1.06777669473471
"COL3A1",0.0756440274187488,1.09137650755256,0.99101263744435,1.20190463394016
"DLC1",0.00481192537080513,0.827531296749017,0.725487281956836,0.943928396996838
"EIF4EBP1",0.0968063064881361,1.11142287468459,0.981131218408218,1.25901692168784
"PIGR",0.0263504540260383,0.940207992553724,0.890420131454142,0.992779742994197
"HLF",0.00158893994308503,0.792950605483149,0.686615189049028,0.915754082875664
"POSTN",0.0228107311970637,1.13354820354381,1.01758678853701,1.26272426512608
"SPOCK1",0.00100845760584074,1.2171158438723,1.08260072733815,1.36834470917759
"LYPD3",2.43951658814144e-06,1.23383166684525,1.13059456690537,1.34649557557759
"ATP13A4",0.00132171726595588,0.840134914597683,0.755397589227276,0.934377716836602
"ARNTL2",2.93860441104936e-06,1.36248901925064,1.19678334057757,1.55113817567236
"TOP2A",0.00541563997632507,1.17103922268835,1.04772681780096,1.30886490426271
"ST3GAL5",0.000764673738945803,0.804686845379848,0.709027746545648,0.913251875236286
"PRR15L",0.125135137654569,0.913521373090642,0.813796272585392,1.0254670944144
"COL1A1",0.0232404535005166,1.11218708124248,1.01460604701522,1.21915309624022
"VSIG2",0.00470493920534232,0.885825465448572,0.814402321418683,0.963512424510604
"SCTR",0.0538498043844883,0.90525974293463,0.81814586702774,1.00164925987493
"LRRK2",0.0418162114737712,0.899184525795938,0.811721210972589,0.996072050971905
"GGTLC1",0.000721724311790765,0.860150448501615,0.788223509458142,0.938640861608073
"THBS2",0.0684770493985344,1.09906112937752,0.992865124150461,1.21661576857397
"PARM1",0.00380554776186126,0.856920648844794,0.771830897469435,0.951391037627722
"CTSH",0.000332018196563239,0.809904094720818,0.721818716571137,0.908738756126314
"PGC",0.00980726801441714,0.946462947561566,0.907753736164871,0.986822830266192
"SLC22A3",0.11161897491565,0.92314227874084,0.836530376642141,1.01872172319618
"PLAU",0.122968653010854,1.07388110894527,0.98088985576983,1.17568820736192
"SERPINE1",0.0080481926865499,1.15151174352068,1.03741956915838,1.27815142001008
"ABCA3",0.00066992947100128,0.855130334806509,0.781394003014715,0.935824803729038
"RHOBTB2",0.0130115120046578,0.846659263588553,0.742430321805549,0.965520787024183
"STEAP1",0.0129686571015196,1.14139104788729,1.0283195834573,1.26689556938827
"SLC44A4",0.0539602582435568,0.913704548222255,0.833574304004745,1.00153759230717
"SCNN1B",0.000784758621762037,0.844749689607895,0.765531141958501,0.932165915898584
"COL1A2",0.0274799139378098,1.12506440254061,1.01316370348891,1.24932417683862
"MAOA",0.0253504647760165,0.88320714711205,0.792107618296194,0.984783944368174
"ADH1B",0.00428687350663357,0.868006327143979,0.787656892351856,0.956552264415927
"FKBP10",0.0658204892959464,1.10527085869172,0.993475083242283,1.22964701549058
"PLA2G10",0.2509955568565,0.942565277828515,0.852022812986607,1.04272947792762
"SCGB3A2",0.0126096754026735,0.941422898413454,0.89781726468602,0.987146392163812
"COL5A1",0.0240793175928324,1.14096732367681,1.01744847489544,1.27948143401759
"TGFBI",0.065649905062039,1.10403872863371,0.993613719983616,1.22673579260081
"VCAN",0.0572147278432536,1.11261512604578,0.996733962860809,1.24196873471917
"SFRP2",0.261569323220986,1.0454533046323,0.967393298441338,1.12981205671737
"INMT",0.00128788462883767,0.824521171887064,0.733118221747684,0.927319963851607
"CXCL17",2.03397948971439e-05,0.863765880931649,0.807496290986414,0.923956562265102
"COL6A2",0.0389527973492776,1.13799254126237,1.00657792353742,1.28656410366887
"HTRA3",0.330049993441694,1.05788998474963,0.944626116950558,1.1847345735542
"MLPH",0.596934169348313,0.968559387770052,0.860410091906403,1.09030251558177
"PLA2G1B",0.00968982313469909,0.881100670548539,0.800517847669381,0.969795231800651
"MT2A",0.0144836555004507,1.15021294003248,1.0281533283437,1.28676314217592
